Name,Province,ID,Lat,Lon,Elevation
POND INLET A,NU,2403201,72.68,-77.97,61
BIG TROUT LAKE,ON,6010738,53.83,-89.87,224
EAR FALLS (AUT),ON,6012199,50.63,-93.22,362
LANSDOWNE HOUSE (AUT),ON,6014353,52.2,-87.93,253
PICKLE LAKE (AUT),ON,6016525,51.45,-90.22,390
RED LAKE A,ON,6016975,51.07,-93.78,385
ATIKOKAN (AUT),ON,6020LPQ,48.77,-91.63,389
KENORA RCS,ON,6034073,49.78,-94.38,412
RAWSON LAKE (AUT),ON,6036907,49.67,-93.73,435
SIOUX LOOKOUT A,ON,6037775,50.12,-91.9,383
ARMSTRONG (AUT),ON,6040325,50.28,-88.92,322
CAMERON FALLS (AUT),ON,6041110,49.15,-88.33,232
CARIBOU ISLAND,ON,6041221,47.33,-85.83,186
GERALDTON A,ON,6042716,49.78,-86.93,348
PUKASKWA NATL PARK,ON,6046770,48.6,-86.3,192
SLATE ISLAND,ON,6047810,48.62,-87.0,185
THUNDER BAY CS,ON,6048268,48.37,-89.33,199
ELLIOT LAKE A,ON,6052259,46.35,-82.57,331
MISSISSAGI ONT HYDRO,ON,6055210,46.43,-83.38,225
RAYNER,ON,6056907,46.33,-83.5,243
SAULT STE MARIE A,ON,6057592,46.48,-84.52,192
WAWA (AUT),ON,6059408,47.97,-84.78,287
WHITE RIVER,ON,6059475,48.6,-85.28,378
CHAPLEAU A,ON,6061361,47.82,-83.35,448
SUDBURY A,ON,6068150,46.63,-80.8,348
SUDBURY SCIENCE NORTH,ON,6068158,46.47,-81.0,263
DYMOND ONT HYDRO,ON,6072183,47.52,-79.68,198
KAPUSKASING CDA ON,ON,6073980,49.42,-82.43,218
KIRKLAND LAKE CS,ON,6074211,48.15,-80.0,324
MOOSONEE RCS,ON,6075435,51.28,-80.62,9
PINARD,ON,6076540,49.85,-81.6,231
TIMMINS VICTOR POWER A,ON,6078285,48.57,-81.38,294
UPPER NOTCH,ON,6079068,47.25,-79.58,240
LA CAVE,ON,6084278,46.37,-78.73,172
LAKE TRAVERSE,ON,6084307,45.95,-78.07,236
NORTH BAY A,ON,6085700,46.37,-79.42,370
GREAT DUCK ISLAND,ON,6093004,45.65,-82.97,182
BARK LAKE DAM,ON,6100493,45.42,-77.8,335
BROCKVILLE PCC,ON,6100971,44.6,-75.67,96
COMBERMERE,ON,6101820,45.37,-77.62,286
CORNWALL,ON,6101874,45.02,-74.75,64
CORNWALL ONT HYDRO,ON,6101901,45.03,-74.8,76
KEMPTVILLE CS,ON,6104027,45.0,-75.63,99
KINGSTON CLIMATE,ON,6104142,44.22,-76.6,93
KINGSTON PUMPING STATION,ON,6104175,44.23,-76.48,76
OTTAWA CDA RCS,ON,6105978,45.38,-75.72,79
OTTAWA MACDONALD-CARTIER INT'L A,ON,6106000,45.32,-75.67,114
PETAWAWA NAT FORESTRY,ON,6106400,45.98,-77.43,183
SMITHS FALLS TS,ON,6107836,44.88,-76.0,114
BARRIE WPCC,ON,6110557,44.38,-79.68,221
BEAUSOLEIL,ON,6110617,44.85,-79.87,183
COLLINGWOOD,ON,6111792,44.5,-80.22,179
DORSET MOE,ON,6112072,45.22,-78.93,323
ORILLIA BRAIN,ON,6115811,44.6,-79.43,250
OWEN SOUND MOE,ON,6116132,44.58,-80.93,178
PARRY SOUND CCG,ON,6116257,45.33,-80.03,176
RAGGED RAPIDS,ON,6116843,45.02,-79.68,228
BARRIE-ORO,ON,6117700,44.48,-79.55,289
UTTERSON ONT HYDRO,ON,6119115,45.2,-79.35,297
WIARTON A,ON,6119500,44.75,-81.12,222
EGBERT CS,ON,611E001,44.23,-79.78,251
COVE ISLAND,ON,6121912,45.33,-81.73,179
CYPRUS LAKE CS,ON,6121940,45.23,-81.53,190
GODERICH,ON,6122847,43.77,-81.72,213
SARNIA CLIMATE,ON,6127519,43.0,-82.3,181
CHATHAM WPCP,ON,6131415,42.38,-82.22,180
DELHI CS,ON,6131983,42.87,-80.55,231
HARROW CDA AUTO,ON,6133362,42.03,-82.9,191
LONG POINT,ON,6134610,42.55,-80.05,175
NIAGARA FALLS,ON,6135638,43.13,-79.08,182
PORT COLBORNE,ON,6136606,42.88,-79.25,175
PORT WELLER (AUT),ON,6136699,43.25,-79.22,79
RIDGETOWN RCS,ON,6137154,42.45,-81.88,205
ST CATHARINES A,ON,6137287,43.2,-79.17,97
ST THOMAS WPCP,ON,6137362,42.77,-81.22,209
SIMCOE,ON,6137730,42.85,-80.27,240
VINELAND STATION RCS,ON,6139148,43.18,-79.4,79
WELLAND-PELHAM,ON,6139449,42.97,-79.33,178
WINDSOR A,ON,6139525,42.28,-82.97,189
WINDSOR UNIVERSITY,ON,6139538,42.3,-83.07,179
POINT PELEE CS,ON,613P001,41.95,-82.52,176
BLUE SPRINGS CREEK,ON,6140818,43.63,-80.12,373
BRANTFORD MOE,ON,6140954,43.13,-80.23,196
CAMBRIDGE GALT MOE,ON,6141095,43.33,-80.32,268
ELORA RCS,ON,6142286,43.65,-80.42,376
FERGUS SHAND DAM,ON,6142400,43.73,-80.33,417
GLEN ALLAN,ON,6142803,43.68,-80.72,400
GRAND VALLEY WPCP,ON,6142991,43.88,-80.33,464
GUELPH SMALLFIELD FARM,ON,6143087,43.53,-80.3,344
GUELPH TURFGRASS,ON,6143089,43.55,-80.22,325
KITCHENER CITY ENG 2,ON,6144241,43.45,-80.48,320
LONDON CS,ON,6144478,43.03,-81.15,278
MOUNT FOREST (AUT),ON,6145504,43.98,-80.75,414
PRESTON WPCP,ON,6146714,43.38,-80.35,272
PROSPECT HILL,ON,6146745,43.22,-81.23,312
STRATFORD WWTP,ON,6148105,43.37,-81.0,345
WATERLOO WELLINGTON A,ON,6149387,43.45,-80.38,317
WOODSTOCK,ON,6149625,43.13,-80.77,281
BELLEVILLE,ON,6150689,44.15,-77.38,76
BOWMANVILLE MOSTERT,ON,6150830,43.92,-78.67,99
BURKETON MCLAUGHLIN,ON,6151042,44.03,-78.8,312
BURLINGTON FIRE HQ'S,ON,6151059,43.35,-79.82,114
CAMPBELLFORD,ON,6151137,44.3,-77.8,146
COBOURG (AUT),ON,6151684,43.95,-78.17,77
GREENWOOD MTRCA,ON,6153020,43.9,-79.07,128
HAMILTON A,ON,6153194,43.17,-79.93,237
HAMILTON RBG CS,ON,6153301,43.28,-79.92,102
HEART LAKE,ON,6153410,43.73,-79.78,259
MAIN DUCK ISLAND,ON,6154820,43.93,-76.63,75
MAPLE,ON,6154950,43.87,-79.48,244
MILTON KELSO,ON,6155187,43.5,-79.95,243
OAK RIDGES,ON,6155722,43.97,-79.47,321
ORANGEVILLE MOE,ON,6155790,43.92,-80.08,411
OSHAWA WPCP,ON,6155878,43.87,-78.83,83
PICTON,ON,6156533,44.02,-77.13,76
SMITHFIELD CDA,ON,6157831,44.08,-77.67,119
STOUFFVILLE WPCP,ON,6158084,43.97,-79.25,266
TORONTO CITY,ON,6158355,43.67,-79.4,112
TORONTO BOOTH,ON,6158406,43.65,-79.35,77
TORONTO ELLESMERE,ON,6158520,43.77,-79.27,164
TORONTO ETOBICOKE,ON,6158525,43.63,-79.53,118
TORONTO GREENWOOD,ON,6158575,43.67,-79.32,99
TORONTO ISLAND A,ON,6158665,43.63,-79.38,76
TORONTO INTL A,ON,6158731,43.68,-79.63,173
TORONTO LESLIE EGLINTON,ON,6158732,43.72,-79.35,133
TORONTO MET RES STN,ON,6158740,43.8,-79.55,193
TORONTO OLD WESTON RD,ON,6158764,43.65,-79.47,121
TORONTO SENECA HILL,ON,61587PG,43.78,-79.35,189
TRENTON A,ON,6158875,44.12,-77.53,86
TWEED,ON,6159010,44.5,-77.28,144
